Time [s],Channel 0
0.000000000,1
2.018767313,0
2.027706812,1
2.032213313,0
2.032764188,1
2.033318000,0
2.033919500,1
2.035599687,0
2.036197437,1
2.036755875,0
2.037352625,1
2.037900813,0
2.038507937,1
2.040178562,0
2.040785750,1
2.042456750,0
2.043063812,1
2.043621500,0
2.044230063,1
2.044776563,0
2.045385313,1
2.047067500,0
2.047663313,1
2.048209375,0
2.048818625,1
2.050484625,0
2.051096500,1
2.052761375,0
2.053374625,1
2.053920312,0
2.054518875,1
2.055071938,0
2.055652500,1
2.057346562,0
2.057930625,1
2.059590938,0
2.060197750,1
2.060749625,0
2.061353187,1
2.063018688,0
2.063631062,1
2.064181437,0
2.064786500,1
2.065334187,0
2.065887313,1
2.066463875,0
2.067075250,1
2.067619250,0
2.068230500,1
2.069894500,0
2.070508500,1
2.072171500,0
2.072753812,1
2.074434875,0
2.074988187,1
2.075562812,0
2.076176312,1
2.077835625,0
2.078443437,1
2.080111125,0
2.080721437,1
2.082414500,0
2.082999437,1
2.084666750,0
2.085277313,1
2.085820125,0
2.086432625,1
2.086983500,0
2.087577125,1
3.019862875,0
3.028798563,1
3.033305438,0
3.033877625,1
3.034420938,0
3.035032938,1
3.036706125,0
3.037289063,1
3.037861750,0
3.038444437,1
3.038991125,0
3.039599813,1
3.041268750,0
3.041877438,1
3.043550375,0
3.044155375,1
3.044704813,0
3.045310687,1
3.045857063,0
3.046411438,1
3.048115375,0
3.048722062,1
3.049263000,0
3.049877375,1
3.051572375,0
3.052144625,1
3.053811062,0
3.054422437,1
3.054964313,0
3.055577813,1
3.056124500,0
3.056700500,1
3.058397563,0
3.058978437,1
3.060660187,0
3.061256500,1
3.061833437,0
3.062422625,1
3.064088438,0
3.064689500,1
3.065239750,0
3.065855688,1
3.066395187,0
3.067000188,1
3.067553563,0
3.068155500,1
3.068709125,0
3.069310812,1
3.070986937,0
3.071588625,1
3.073260875,0
3.073866437,1
3.075535125,0
3.076144250,1
3.076691250,0
3.077277625,1
3.078945313,0
3.079555375,1
3.081224250,0
3.081833125,1
3.083501813,0
3.084110938,1
3.085786000,0
3.086399750,1
3.086939500,0
3.087555125,1
3.088094813,0
3.088699562,1
4.022251188,0
4.031212688,1
4.035714500,0
4.036291625,1
4.036843437,0
4.037425125,1
4.039087187,0
4.039703125,1
4.040240625,0
4.040847562,1
4.041399750,0
4.042002938,1
4.043675438,0
4.044280937,1
4.045949375,0
4.046547875,1
4.047100875,0
